departure_date,origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,predicted_arrival_time,arrival_buffer_minutes,status
2026-08-25,K2,Kaggadasapura,09:45,OFFICE,6808,1362,1569,2026-08-25T10:11:09+05:30,8.85,success
2026-08-25,K2,Kaggadasapura,10:00,OFFICE,6808,1362,1567,2026-08-25T10:26:07+05:30,-6.116666666666666,success
2026-08-25,K3,Kaggadasapura,08:30,OFFICE,7580,1553,1658,2026-08-25T08:57:38+05:30,82.36666666666666,success
2026-08-25,K3,Kaggadasapura,08:45,OFFICE,7580,1553,1694,2026-08-25T09:13:14+05:30,66.76666666666667,success
2026-08-25,K3,Kaggadasapura,09:00,OFFICE,7580,1553,1695,2026-08-25T09:28:15+05:30,51.75,success
2026-08-25,K3,Kaggadasapura,09:15,OFFICE,7580,1553,1704,2026-08-25T09:43:24+05:30,36.6,success
2026-08-25,K3,Kaggadasapura,09:30,OFFICE,7580,1553,1722,2026-08-25T09:58:42+05:30,21.3,success
2026-08-25,K3,Kaggadasapura,09:45,OFFICE,7580,1553,1769,2026-08-25T10:14:29+05:30,5.516666666666667,success
2026-08-25,K3,Kaggadasapura,10:00,OFFICE,7580,1553,1756,2026-08-25T10:29:16+05:30,-9.266666666666667,success
2026-08-25,V1,Vibhutipura,08:30,OFFICE,8794,1857,2029,2026-08-25T09:03:49+05:30,76.18333333333334,success
2026-08-25,V1,Vibhutipura,08:45,OFFICE,8795,1857,2010,2026-08-25T09:18:30+05:30,61.5,success
2026-08-25,V1,Vibhutipura,09:00,OFFICE,8795,1857,2018,2026-08-25T09:33:38+05:30,46.36666666666667,success
2026-08-25,V1,Vibhutipura,09:15,OFFICE,8795,1857,2045,2026-08-25T09:49:05+05:30,30.916666666666668,success
2026-08-25,V1,Vibhutipura,09:30,OFFICE,8795,1857,2068,2026-08-25T10:04:28+05:30,15.533333333333333,success
2026-08-25,V1,Vibhutipura,09:45,OFFICE,8795,1857,2073,2026-08-25T10:19:33+05:30,0.45,success
2026-08-25,V1,Vibhutipura,10:00,OFFICE,8795,1857,2104,2026-08-25T10:35:04+05:30,-15.066666666666666,success
2026-08-25,V2,Vibhutipura,08:30,OFFICE,9728,1779,2016,2026-08-25T09:03:36+05:30,76.4,success
2026-08-25,V2,Vibhutipura,08:45,OFFICE,9727,1779,2126,2026-08-25T09:20:26+05:30,59.56666666666667,success
2026-08-25,V2,Vibhutipura,09:00,OFFICE,9728,1779,2201,2026-08-25T09:36:41+05:30,43.31666666666667,success
